UserID,Age,Gender,Device,OS,Source,IsNewUser
1,56,Male,Xiaomi Note 11,Android,Organic,0
2,46,Male,Samsung S23,Android,Organic,1
3,32,Female,Samsung S21,Android,Organic,1
4,25,Male,Samsung S21,Android,Organic,0
5,38,Female,Samsung S23,Android,Paid Ads,0
6,56,Male,iPhone 12,iOS,Paid Ads,0
7,36,Female,iPhone 12,iOS,Organic,1
8,40,Male,Xiaomi Note 11,Android,Paid Ads,0
9,28,Female,Huawei P50,Android,nan,1
10,28,Male,Huawei P50,Android,Paid Ads,0
11,41,nan,iPhone 12,iOS,nan,1
12,53,Female,iPhone 14,iOS,Organic,1
13,57,Female,Xiaomi Note 11,Android,Organic,0
14,41,Female,Huawei P50,Android,Organic,0
15,20,Male,nan,Android,Referral,1
16,39,Female,Huawei P50,Android,Organic,0
17,19,Female,Xiaomi Note 11,Android,nan,0
18,41,Female,Samsung S21,Android,Paid Ads,0
19,47,Female,iPhone 12,iOS,Organic,0
20,55,Female,iPhone 12,iOS,Organic,1
21,19,nan,Xiaomi Note 11,Android,Organic,0
22,38,Male,iPhone 12,iOS,Organic,1
23,50,Female,Google Pixel 7,Android,Paid Ads,0
24,29,Female,Google Pixel 7,Android,Paid Ads,1
25,39,Female,iPhone 12,iOS,Paid Ads,0
26,42,Male,Huawei P50,Android,Paid Ads,0
27,44,Female,Samsung S23,Android,Referral,0
28,59,Female,Huawei P50,Android,Organic,0
29,45,Male,Huawei P50,Android,Organic,0
30,33,Female,iPhone 14,iOS,Paid Ads,1
31,32,Male,Samsung S21,Android,Organic,1
32,20,nan,iPhone 14,iOS,Organic,0
33,54,Male,Google Pixel 7,Android,Paid Ads,1
34,24,Male,Samsung S23,Android,Paid Ads,0
35,38,Male,Huawei P50,Android,Referral,1
36,26,Female,Samsung S21,Android,Referral,0
37,56,Male,Xiaomi Note 11,Android,Organic,0
38,35,Female,nan,nan,nan,0
39,21,Female,Xiaomi Note 11,Android,Organic,0
40,42,Female,iPhone 12,iOS,Referral,1
41,31,Male,Xiaomi Note 11,Android,Organic,0
42,26,nan,iPhone 14,iOS,Referral,0
43,43,Female,iPhone 12,iOS,Organic,1
44,19,Male,Samsung S21,Android,Paid Ads,1
45,37,Male,Samsung S21,Android,Organic,0
46,45,Male,Google Pixel 7,Android,Organic,0
47,24,Female,Samsung S21,Android,Organic,1
48,25,Male,Google Pixel 7,Android,Paid Ads,0
49,52,Male,iPhone 12,iOS,Organic,1
50,31,Female,iPhone 12,iOS,Organic,0
51,34,Female,iPhone 12,iOS,Organic,1
52,53,Female,Samsung S21,Android,Paid Ads,1
53,57,Female,Samsung S21,Android,Organic,0
54,21,Male,Xiaomi Note 11,Android,Paid Ads,0
55,19,Female,nan,Android,Referral,1
56,23,Male,Samsung S21,Android,Referral,1
57,59,Female,iPhone 12,iOS,Organic,1
58,21,Female,iPhone 14,iOS,Organic,0
59,46,Male,Huawei P50,Android,Organic,0
60,35,nan,Xiaomi Note 11,Android,Referral,0
61,43,Female,Google Pixel 7,Android,Organic,1
62,51,Male,iPhone 14,iOS,Organic,1
63,27,Female,iPhone 14,iOS,Organic,1
64,53,Female,iPhone 14,iOS,Referral,0
65,31,Female,Huawei P50,Android,nan,1
66,48,Female,Samsung S21,Android,Paid Ads,0
67,32,Female,Xiaomi Note 11,Android,Referral,1
68,25,Male,Samsung S23,Android,Paid Ads,0
69,31,Male,Samsung S23,Android,Paid Ads,1
70,40,Male,iPhone 14,iOS,Paid Ads,1
71,57,Male,Xiaomi Note 11,nan,Organic,0
72,38,Female,iPhone 12,iOS,Organic,1
73,33,Male,nan,Android,Paid Ads,0
74,35,Male,iPhone 12,iOS,Organic,0
75,41,Male,iPhone 12,iOS,Organic,1
76,43,Female,Samsung S21,Android,Paid Ads,1
77,42,Female,Huawei P50,Android,Paid Ads,1
78,58,Male,Samsung S21,Android,Referral,1
79,46,Female,Samsung S23,Android,Organic,0
80,32,Male,iPhone 12,iOS,Organic,1
81,18,Female,iPhone 12,iOS,Organic,1
82,42,Male,Xiaomi Note 11,Android,Organic,1
83,24,Female,iPhone 14,iOS,Organic,0
84,26,Female,Xiaomi Note 11,Android,Organic,0
85,41,Female,Google Pixel 7,Android,Organic,1
86,18,Male,Huawei P50,Android,Organic,0
87,25,Female,iPhone 14,iOS,Organic,0
88,41,Female,Samsung S23,Android,Paid Ads,0
89,28,Female,Huawei P50,Android,Paid Ads,1
90,34,Male,Google Pixel 7,Android,Organic,0
91,25,Male,iPhone 14,iOS,Paid Ads,0
92,52,Female,Samsung S23,Android,Organic,1
93,52,Male,Huawei P50,Android,nan,1
94,50,Male,Samsung S23,Android,Organic,1
95,22,Male,Huawei P50,Android,Referral,1
96,59,Female,Samsung S23,Android,Organic,0
97,56,Male,iPhone 14,iOS,nan,1
98,58,Female,iPhone 14,nan,Referral,1
99,45,Male,iPhone 12,iOS,Organic,1
100,24,Male,iPhone 14,iOS,Organic,0
101,26,Male,Huawei P50,Android,Organic,0
102,25,Male,Xiaomi Note 11,Android,Organic,0
103,29,Female,Google Pixel 7,Android,Organic,1
104,51,Female,Xiaomi Note 11,Android,Organic,0
105,50,Female,Samsung S21,Android,Organic,1
106,40,Male,Samsung S21,Android,Organic,0
107,41,Female,Huawei P50,Android,Paid Ads,1
108,54,Female,Samsung S23,Android,Organic,1
109,52,Female,Samsung S23,Android,Organic,0
110,57,Female,nan,Android,Paid Ads,0
111,39,Male,Samsung S21,Android,Organic,0
112,44,Female,Huawei P50,Android,Organic,0
113,52,Male,Huawei P50,Android,Paid Ads,0
114,18,Male,Samsung S21,Android,Organic,1
115,52,Female,iPhone 12,iOS,Organic,0
116,54,Female,nan,Android,Referral,0
117,31,Female,Samsung S23,Android,Referral,1
118,20,Male,iPhone 12,iOS,Referral,1
119,18,Male,Samsung S23,Android,Organic,0
120,22,Male,Xiaomi Note 11,Android,Organic,0
121,43,Female,Google Pixel 7,Android,Paid Ads,1
122,31,Male,Huawei P50,Android,nan,1
123,56,Female,Huawei P50,Android,Organic,1
124,44,Male,Huawei P50,Android,Referral,0
125,26,Female,iPhone 12,iOS,Paid Ads,0
126,32,Female,Google Pixel 7,Android,nan,0
127,32,Male,Samsung S21,nan,Organic,1
128,43,Male,iPhone 14,nan,Organic,0
129,59,Female,Huawei P50,Android,Organic,0
130,30,Female,Samsung S23,Android,Paid Ads,0
131,49,Female,Huawei P50,Android,Paid Ads,0
132,56,Female,iPhone 12,iOS,Referral,1
133,49,Male,Huawei P50,Android,Referral,0
134,21,Female,iPhone 14,iOS,Organic,1
135,47,Male,iPhone 14,iOS,Organic,0
136,54,Female,Samsung S23,Android,Organic,1
137,40,Male,Samsung S21,Android,nan,0
138,56,Female,Samsung S23,Android,Organic,0
139,32,Male,Huawei P50,Android,Paid Ads,0
140,46,Male,Xiaomi Note 11,Android,Organic,0
141,53,Male,Samsung S21,Android,Paid Ads,0
142,30,Female,iPhone 14,iOS,Organic,0
143,49,Female,Samsung S23,Android,Paid Ads,0
144,24,Female,Samsung S23,Android,Referral,1
145,39,Male,Xiaomi Note 11,Android,Organic,0
146,45,Female,Samsung S21,Android,Paid Ads,0
147,19,Female,Google Pixel 7,Android,nan,0
148,59,Male,iPhone 12,iOS,Organic,0
149,23,Male,Xiaomi Note 11,Android,Organic,1
150,45,Female,Xiaomi Note 11,Android,Organic,1
151,45,Male,Samsung S21,Android,Referral,0
152,37,Male,Huawei P50,Android,Paid Ads,0
153,47,Female,Xiaomi Note 11,Android,Paid Ads,0
154,28,Male,Xiaomi Note 11,Android,Organic,0
155,45,Female,Samsung S23,Android,nan,1
156,42,Female,Huawei P50,Android,Organic,1
157,56,Female,Xiaomi Note 11,Android,Organic,1
158,50,Female,Samsung S21,Android,Organic,0
159,18,Male,Samsung S21,Android,Organic,0
160,44,Female,iPhone 12,iOS,Organic,1
161,30,Male,iPhone 14,iOS,Paid Ads,1
162,58,Female,nan,Android,Referral,0
163,20,nan,Samsung S23,Android,Organic,1
164,56,Female,Huawei P50,Android,Organic,0
165,23,Female,iPhone 14,iOS,Organic,0
166,25,Male,Samsung S23,Android,Organic,0
167,44,Male,nan,Android,Referral,1
168,26,Female,iPhone 12,iOS,Organic,1
169,54,Male,Xiaomi Note 11,Android,Organic,0
170,50,Female,Huawei P50,Android,Organic,0
171,59,Male,Huawei P50,Android,Organic,0
172,41,Female,Huawei P50,Android,Organic,1
173,32,Male,Huawei P50,Android,Organic,1
174,49,Female,Xiaomi Note 11,Android,Paid Ads,0
175,49,Female,Samsung S21,Android,Organic,1
176,41,Male,Google Pixel 7,Android,Referral,1
177,58,Male,nan,Android,Organic,1
178,29,Male,Samsung S23,Android,Paid Ads,0
179,56,Male,Samsung S21,Android,Organic,1
180,19,Male,Xiaomi Note 11,Android,Organic,0
181,20,Male,Xiaomi Note 11,Android,Organic,0
182,54,Female,Samsung S21,Android,Organic,1
183,34,Male,Google Pixel 7,Android,Organic,0
184,19,nan,Xiaomi Note 11,Android,Paid Ads,1
185,19,Female,Xiaomi Note 11,Android,Organic,0
186,45,Male,Samsung S21,Android,Paid Ads,1
187,40,Male,iPhone 14,iOS,Organic,0
188,54,Female,Xiaomi Note 11,Android,Organic,0
189,49,Male,Xiaomi Note 11,Android,Organic,0
190,50,Female,Samsung S21,Android,Paid Ads,1
191,18,Female,Samsung S21,Android,nan,1
192,36,Male,Samsung S21,Android,Organic,0
193,19,Female,Samsung S23,Android,Organic,0
194,43,Male,nan,Android,Organic,1
195,49,Male,Google Pixel 7,Android,Paid Ads,0
196,23,Female,Huawei P50,Android,Organic,0
197,49,Female,Samsung S23,Android,Paid Ads,0
198,21,Female,Samsung S23,Android,Referral,1
199,28,Female,Samsung S21,Android,Paid Ads,1
200,34,Female,Google Pixel 7,Android,Paid Ads,0
201,55,Female,Samsung S23,Android,Paid Ads,0
202,41,Male,Google Pixel 7,Android,Organic,1
203,22,Female,Samsung S23,Android,Organic,1
204,51,Female,iPhone 14,iOS,Paid Ads,0
205,23,Male,iPhone 14,iOS,Organic,1
206,39,Female,Huawei P50,Android,Paid Ads,1
207,28,Male,Samsung S21,nan,Organic,1
208,33,Female,Samsung S21,Android,Organic,1
209,50,Female,Huawei P50,Android,Referral,0
210,26,Female,Xiaomi Note 11,Android,Organic,0
211,23,Male,iPhone 14,iOS,Referral,0
212,33,Female,iPhone 14,iOS,nan,0
213,46,Male,Samsung S21,Android,Referral,1
214,20,Female,Xiaomi Note 11,nan,Organic,0
215,37,Female,Google Pixel 7,Android,Referral,0
216,53,Female,Samsung S21,Android,Paid Ads,1
217,36,Female,Huawei P50,Android,Organic,0
218,43,Female,iPhone 14,iOS,Organic,0
219,20,Male,Samsung S21,Android,Organic,1
220,36,Male,nan,Android,Organic,1
221,37,Female,iPhone 14,iOS,Organic,0
222,49,Female,Huawei P50,Android,nan,0
223,24,Male,Google Pixel 7,Android,Referral,0
224,58,Female,iPhone 12,iOS,Paid Ads,0
225,50,Male,Samsung S23,Android,Organic,1
226,57,Male,Samsung S23,Android,Organic,0
227,56,Female,Huawei P50,Android,Organic,1
228,35,Male,Samsung S23,Android,Paid Ads,1
229,57,Male,Samsung S23,Android,nan,0
230,18,Male,iPhone 14,iOS,Referral,0
231,28,Female,Xiaomi Note 11,Android,Referral,0
232,45,nan,Samsung S21,Android,Organic,1
233,42,Female,iPhone 12,iOS,Organic,0
234,40,Male,nan,Android,Organic,0
235,48,Female,Samsung S21,Android,Organic,0
236,47,Female,iPhone 14,iOS,Paid Ads,1
237,59,Female,Xiaomi Note 11,Android,Referral,0
238,52,Female,Huawei P50,Android,Organic,1
239,24,Male,iPhone 12,iOS,Referral,0
240,33,Male,iPhone 14,iOS,Organic,1
241,43,Male,iPhone 12,nan,Paid Ads,1
242,19,Male,iPhone 12,iOS,Paid Ads,1
243,18,Female,Xiaomi Note 11,Android,Organic,1
244,29,Female,Xiaomi Note 11,Android,Paid Ads,0
245,22,Female,Xiaomi Note 11,Android,Organic,0
246,54,Male,Samsung S23,Android,Organic,0
247,49,Male,Huawei P50,Android,Paid Ads,1
248,26,Male,Samsung S23,Android,Organic,0
249,58,Male,Huawei P50,Android,Referral,0
250,52,Male,Samsung S23,Android,Referral,1
251,36,Female,Google Pixel 7,Android,Organic,1
252,33,Male,Samsung S23,Android,Organic,0
253,20,nan,Samsung S23,Android,Organic,0
254,37,Male,Huawei P50,Android,Organic,0
255,41,Female,iPhone 14,iOS,Paid Ads,0
256,50,Female,Xiaomi Note 11,Android,Organic,0
257,41,Male,Google Pixel 7,Android,Referral,1
258,28,Female,Google Pixel 7,Android,Organic,0
259,25,Female,Xiaomi Note 11,Android,Organic,0
260,53,Female,Samsung S23,Android,Paid Ads,0
261,55,Female,Samsung S21,Android,Paid Ads,0
262,57,Male,Huawei P50,Android,nan,0
